5,44.0074,9018.94
10,84.143,4716.97
15,127.541,3111.95
20,168.707,2352.59
25,210.594,1884.67
30,250.016,1587.5
35,291.551,1361.34
40,334.291,1187.29
45,378.231,1049.36
50,416.716,952.448
55,457.898,866.787
60,499.24,795.009
65,546.234,726.612
70,587.272,675.837
75,629.234,630.767
80,670.787,591.693
85,718.84,552.139
90,753.465,526.766
95,795.643,498.842
100,837.273,474.039
105,879.043,451.514
110,920.729,431.071
115,962.727,412.267
120,1004.2,395.24
125,1046.13,379.399
130,1088.18,364.736
135,1130.26,351.157
140,1183.99,335.221
145,1217.06,326.113
150,1277.3,310.734
155,1309.93,302.992
160,1350,294
165,1378.29,287.965
170,1419.94,279.518
175,1461.07,271.65
180,1503.48,263.988
185,1544.58,256.963
190,1586.35,250.197
195,1628,243.796
200,1669.88,237.682
205,1711.17,231.946
210,1752.83,226.434
