5,55.4673,7155.57
10,104.446,3800.04
15,154.665,2566.19
20,204.814,1937.86
25,255.004,1556.45
30,305.051,1301.09
35,355,1118.03
40,405.181,979.562
45,456.987,868.516
50,511.779,775.53
55,560.619,707.967
60,611.009,649.581
65,661.27,600.208
70,711.874,557.543
75,762.318,520.649
80,812.729,488.355
85,863.688,459.541
90,914.013,434.239
95,964.459,411.526
100,1015.38,390.888
105,1066.73,372.073
110,1117.21,355.261
115,1167.93,339.833
120,1218.77,325.656
125,1269.09,312.744
130,1319.76,300.736
135,1370.35,289.634
140,1422.17,279.081
145,1473.35,269.386
150,1521.97,260.781
155,1572.47,252.405
160,1623.15,244.525
165,1673.31,237.195
170,1726.23,229.924
175,1777.26,223.322
180,1828.86,217.021
185,1877.99,211.344
190,1924.34,206.252
195,1979.36,200.519
200,2031.19,195.402
5,55.4117,7162.75
